timestamp,actual_mw,predicted_mw,residual_mw,pct_of_predicted
2016-01-21 14:00:00,0.0,3.0104177508843124,-3.0104177508843124,0.0
2016-01-21 15:00:00,0.0,3.5164378728729173,-3.5164378728729173,0.0
2016-01-21 16:00:00,0.0,3.6662542647552816,-3.6662542647552816,0.0
2016-01-21 17:00:00,0.008186666190624236,3.3802208720558085,-3.372034205865184,0.002421932323506779
2016-01-21 18:00:00,0.038045000970363625,3.1428104990257415,-3.104765498055378,0.012105407240480271
2016-01-21 19:00:00,0.0,3.1832948493648283,-3.1832948493648283,0.0
2016-01-21 20:00:00,0.0,3.6271730218411466,-3.6271730218411466,0.0
2016-01-21 21:00:00,0.0,5.224284271083106,-5.224284271083106,0.0
2016-01-21 22:00:00,0.0,3.6397516870114366,-3.6397516870114366,0.0
2016-01-21 23:00:00,0.0,3.193768100330195,-3.193768100330195,0.0
2016-01-22 00:00:00,0.0,4.531645737770183,-4.531645737770183,0.0
2016-01-22 01:00:00,0.0,4.452062391741747,-4.452062391741747,0.0
2016-01-22 02:00:00,0.0,4.054207416215743,-4.054207416215743,0.0
2016-01-22 03:00:00,0.0,5.063938350477893,-5.063938350477893,0.0
2016-01-22 04:00:00,0.0,4.5606711924650325,-4.5606711924650325,0.0
2016-01-22 05:00:00,0.0,4.949744394190636,-4.949744394190636,0.0
2016-01-22 06:00:00,0.0,4.898534411295243,-4.898534411295243,0.0
2016-01-22 07:00:00,0.0,4.9583919946924855,-4.9583919946924855,0.0
2016-01-22 08:00:00,0.0,5.077018107620191,-5.077018107620191,0.0
2016-01-22 09:00:00,0.0,6.616973147128845,-6.616973147128845,0.0
2016-01-22 10:00:00,0.4739133303165436,5.514050553763101,-5.040137223446558,0.08594649717041826
2016-01-22 11:00:00,0.5999749959309896,5.698615708606339,-5.0986407126753495,0.10528434037495753
2016-01-22 12:00:00,0.5997699991861979,5.815890814249383,-5.216120815063185,0.10312607618367163
2016-01-22 13:00:00,0.5604950052897135,5.578702326925498,-5.018207321635785,0.10047049877253628
2016-01-22 14:00:00,0.5959016621907552,4.343423508013513,-3.7475218458227575,0.13719630634482935
2016-01-22 15:00:00,0.5969116719563803,4.698357267212481,-4.1014455952561,0.12704688852036275
2016-01-22 16:00:00,0.6000733337402344,4.923300232155584,-4.323226898415349,0.12188436728293989
2016-01-22 17:00:00,0.6000633341471354,4.393005265443437,-3.7929419312963013,0.13659517753538683
2016-01-22 18:00:00,0.6,3.7280817576653598,-3.1280817576653597,0.16094067646620994
2016-01-22 19:00:00,0.5999483337402344,4.125929848741103,-3.525981515000869,0.14540924245798545
2016-01-22 20:00:00,0.6000783284505209,4.102816659991784,-3.502738331541263,0.14626008866107185
2016-01-22 21:00:00,0.6000283406575522,4.080344879310775,-3.4803165386532227,0.14705333946156657
2016-01-22 22:00:00,0.6000233357747397,4.299442597046122,-3.699419261271382,0.13955840140463283
2016-01-22 23:00:00,0.6000516662597656,4.392428548864804,-3.7923768826050384,0.1366104558296902
2016-01-23 00:00:00,0.7506366678873697,4.061167517766052,-3.310530849878682,0.18483272719079474
2016-01-23 01:00:00,0.7108333384195963,4.316447453853315,-3.6056141154337187,0.16468017878568908
2016-01-23 02:00:00,0.8450083516438802,4.544206332911559,-3.6991979812676785,0.18595290128528724
2016-01-23 03:00:00,0.6181333312988281,4.60522320066431,-3.9870898693654815,0.13422440224171145
2016-01-23 04:00:00,0.5376983337402343,3.6591169031363235,-3.121418569396089,0.14694756903758915
2016-01-23 05:00:00,0.5192533264160156,2.665758094116572,-2.1465047677005566,0.19478636398479934
2016-01-23 06:00:00,0.6032100016276041,1.6154053459768138,-1.0121953443492098,0.37341092322735325
2016-01-23 07:00:00,0.746943333943685,1.736217639340964,-0.9892743053972791,0.43021296237216594
2016-01-23 08:00:00,0.5456399993896485,2.491978569869088,-1.9463385704794396,0.21895854402083112
