turbine_id,capacity_factor,peak_cp,betz_limit,hours_observed
Kelmarsh_1,0.25404452719391546,0.5508101229983546,0.5925925925925926,8101
Kelmarsh_2,0.29993656908107974,0.5543511359460449,0.5925925925925926,8103
Kelmarsh_3,0.24749844176772476,0.5575445441139633,0.5925925925925926,7897
Kelmarsh_4,0.2662726926763094,0.5587589006880727,0.5925925925925926,7834
Kelmarsh_5,0.23187153627741486,0.6107022172517439,0.5925925925925926,7982
Kelmarsh_6,0.20691497685026575,0.5548957304446934,0.5925925925925926,7786
